Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Indiana,07/01/2020,2,1.6,114,84073,2.4,1.9,135.6,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Huntingdon,03/08/2021,75,27,4388,45144,166.1,59.8,9720,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Indiana,07/27/2020,11,6.9,234,84073,13.1,8.2,278.3,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Philadelphia,12/06/2020,763,1060.3,70151,1584064,48.2,66.9,4428.5,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Forest,03/30/2021,2,0.7,1395,7247,27.6,9.9,19249.3,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Perry,05/24/2020,0,1.3,48,46272,0,2.8,103.7,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Centre,03/05/2020,0,,0,162385,0,,0,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Perry,05/16/2020,0,0.6,39,46272,0,1.2,84.3,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Pennsylvania,02/25/2021,3357,2469.9,927281,12801989,26.2,19.3,7243.3,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Wyoming,05/23/2020,0,0.6,35,26794,0,2.1,130.6,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Juniata,04/29/2021,4,5,2066,24763,16.2,20.2,8343.1,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Wyoming,05/11/2020,1,0.3,29,26794,3.7,1.1,108.2,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Indiana,06/27/2020,1,0.4,104,84073,1.2,0.5,123.7,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Union,05/30/2020,0,0.7,58,44923,0,1.6,129.1,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Union,07/08/2020,0,0.6,100,44923,0,1.3,222.6,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Indiana,05/24/2020,0,0.6,90,84073,0,0.7,107,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Union,03/20/2021,9,8.3,5346,44923,20,18.4,11900.4,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Union,06/07/2020,1,2.3,74,44923,2.2,5.1,164.7,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Union,09/14/2020,3,3.6,440,44923,6.7,8,979.5,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Lycoming,09/11/2020,3,4,595,113299,2.6,3.5,525.2,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Philadelphia,12/21/2020,940,742.1,83393,1584064,59.3,46.9,5264.5,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Carbon,04/30/2021,17,18.3,6091,64182,26.5,28.5,9490.2,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Lancaster,10/11/2020,46,55.9,8632,545724,8.4,10.2,1581.8,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Lycoming,03/16/2021,20,22.6,9766,113299,17.7,19.9,8619.7,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Mercer,03/02/2021,4,13.7,8132,109424,3.7,12.5,7431.6,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Lebanon,11/20/2020,96,80.6,4588,141793,67.7,56.8,3235.7,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Berks,03/06/2021,58,101.9,36353,421164,13.8,24.2,8631.6,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Cambria,11/28/2020,110,173.3,4449,130192,84.5,133.1,3417.3,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Union,11/21/2020,73,44.7,1346,44923,162.5,99.5,2996.2,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Northumberland,08/05/2020,8,4.4,444,90843,8.8,4.9,488.8,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Lycoming,09/25/2020,11,7.1,688,113299,9.7,6.3,607.2,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Mercer,03/28/2021,13,11.4,8502,109424,11.9,10.4,7769.8,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Lycoming,02/14/2021,36,44.3,8940,113299,31.8,39.1,7890.6,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Union,06/14/2020,1,1.6,85,44923,2.2,3.5,189.2,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Clearfield,04/04/2021,14,37.6,7384,79255,17.7,47.4,9316.8,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Northampton,02/26/2021,79,93.1,26806,305285,25.9,30.5,8780.6,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Lehigh,03/05/2021,79,74.9,31307,369318,21.4,20.3,8477,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Union,01/17/2021,5,34.1,3551,44923,11.1,76,7904.6,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Pennsylvania,01/08/2021,9650,8095.9,716238,12801989,75.4,63.2,5594.7,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Union,11/14/2020,24,27.4,1033,44923,53.4,61.1,2299.5,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Schuylkill,04/18/2021,9,41.6,13637,141359,6.4,29.4,9647.1,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Dauphin,04/02/2021,98,72.9,22629,278299,35.2,26.2,8131.2,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Jefferson,04/22/2021,8,5.9,3177,43425,18.4,13.5,7316.1,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Lycoming,11/21/2020,63,55.4,1753,113299,55.6,48.9,1547.2,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Lehigh,11/21/2020,217,184.9,9982,369318,58.8,50.1,2702.8,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Lebanon,01/19/2021,112,87.3,11013,141793,79,61.6,7767,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Lackawanna,02/20/2021,32,48.6,13679,209674,15.3,23.2,6523.9,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Erie,12/25/2020,154,198.7,11170,269728,57.1,73.7,4141.2,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Lycoming,01/24/2021,45,55.1,7885,113299,39.7,48.7,6959.5,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Northumberland,09/03/2020,6,11.7,758,90843,6.6,12.9,834.4,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Huntingdon,05/02/2021,4,10.9,4921,45144,8.9,24.1,10900.7,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Pennsylvania,10/17/2020,1283,1437.9,183688,12801989,10,11.2,1434.8,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Union,08/22/2020,4,8.9,359,44923,8.9,19.7,799.1,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Lycoming,11/15/2020,5,32.6,1370,113299,4.4,28.7,1209.2,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Union,04/10/2021,15,14,5580,44923,33.4,31.2,12421.3,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Lehigh,12/18/2020,312,302.9,17169,369318,84.5,82,4648.8,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Lehigh,01/17/2021,124,249.6,25675,369318,33.6,67.6,6952,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Union,12/13/2020,27,35,2166,44923,60.1,77.9,4821.6,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Cumberland,04/23/2021,53,56.6,19338,253370,20.9,22.3,7632.3,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Lehigh,12/31/2020,291,262.6,20812,369318,78.8,71.1,5635.3,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Carbon,04/13/2021,26,26.4,5763,64182,40.5,41.2,8979.2,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Union,04/07/2021,16,13.6,5531,44923,35.6,30.2,12312.2,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Lancaster,01/04/2021,533,331.9,29638,545724,97.7,60.8,5431,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Elk,04/23/2021,5,5.4,2779,29910,16.7,18.1,9291.2,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Philadelphia,02/19/2021,280,271.6,111558,1584064,17.7,17.1,7042.5,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Pennsylvania,06/30/2020,658,589,87649,12801989,5.1,4.6,684.7,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Union,10/30/2020,11,6.7,745,44923,24.5,14.9,1658.4,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Washington,04/04/2021,24,63,15406,206865,11.6,30.5,7447.4,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Lehigh,03/18/2021,154,99.9,32444,369318,41.7,27,8784.8,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Venango,10/08/2020,2,2.6,122,50668,3.9,5.1,240.8,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Lehigh,04/25/2021,57,129.4,37664,369318,15.4,35,10198.3,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Union,09/29/2020,1,2.9,483,44923,2.2,6.4,1075.2,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Berks,04/17/2021,94,217.4,43415,421164,22.3,51.6,10308.3,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Union,10/21/2020,12,4.4,677,44923,26.7,9.9,1507,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Northumberland,09/30/2020,15,22.4,1113,90843,16.5,24.7,1225.2,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Lebanon,08/15/2020,5,6.1,1661,141793,3.5,4.3,1171.4,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Juniata,05/02/2021,0,4.1,2072,24763,0,16.7,8367.3,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Berks,03/23/2021,282,165.3,38648,421164,67,39.2,9176.5,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Lebanon,07/16/2020,4,9.1,1492,141793,2.8,6.4,1052.2,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Philadelphia,01/08/2021,821,614.9,94268,1584064,51.8,38.8,5951,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Fayette,02/15/2021,15,23.3,9986,129274,11.6,18,7724.7,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Lycoming,03/15/2021,36,22.4,9746,113299,31.8,19.8,8602,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Philadelphia,02/01/2021,553,433.9,105871,1584064,34.9,27.4,6683.5,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Lebanon,08/17/2020,1,4.6,1663,141793,0.7,3.2,1172.8,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Lebanon,09/26/2020,18,14.4,2048,141793,12.7,10.2,1444.4,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Washington,01/23/2021,47,86.6,12018,206865,22.7,41.8,5809.6,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Lebanon,09/25/2020,17,12.6,2030,141793,12,8.9,1431.7,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Union,11/06/2020,13,8.4,804,44923,28.9,18.8,1789.7,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Lycoming,11/16/2020,63,39.6,1433,113299,55.6,34.9,1264.8,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Union,05/14/2020,1,0.6,36,44923,2.2,1.3,80.1,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Union,01/03/2021,21,27.9,2911,44923,46.7,62,6480,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Lackawanna,11/22/2020,45,57.3,4828,209674,21.5,27.3,2302.6,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Clearfield,03/26/2021,31,31.4,7046,79255,39.1,39.7,8890.3,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Philadelphia,01/16/2021,362,577.1,98750,1584064,22.9,36.4,6234,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Northampton,01/04/2021,297,240.4,17865,305285,97.3,78.8,5851.9,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Clearfield,02/10/2021,41,26.3,5946,79255,51.7,33.2,7502.4,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Philadelphia,03/31/2021,604,542.4,125990,1584064,38.1,34.2,7953.6,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Bucks,04/12/2021,433,278.6,54560,628270,68.9,44.3,8684.2,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Clearfield,03/23/2021,32,29.1,6938,79255,40.4,36.8,8754,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Snyder,03/24/2021,5,7.9,3268,40372,12.4,19.5,8094.7,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Northumberland,07/15/2020,4,2.9,367,90843,4.4,3.1,404,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Lycoming,01/23/2021,46,52.7,7840,113299,40.6,46.5,6919.7,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Union,12/06/2020,35,30.3,1921,44923,77.9,67.4,4276.2,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Union,03/18/2021,9,7.4,5325,44923,20,16.5,11853.6,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Venango,12/13/2020,72,64.1,1734,50668,142.1,126.6,3422.3,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Northampton,10/29/2020,39,42.3,5536,305285,12.8,13.9,1813.4,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Cambria,04/17/2021,50,56,13141,130192,38.4,43,10093.6,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Berks,12/23/2020,316,285.9,21435,421164,75,67.9,5089.5,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Union,09/15/2020,3,3.6,443,44923,6.7,8,986.1,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Erie,04/04/2021,25,42.3,18880,269728,9.3,15.7,6999.6,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Lycoming,10/07/2020,23,11.4,814,113299,20.3,10.1,718.5,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Erie,08/13/2020,17,19.7,1202,269728,6.3,7.3,445.6,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Union,05/01/2020,1,0.9,30,44923,2.2,1.9,66.8,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Lebanon,09/19/2020,5,15.9,1947,141793,3.5,11.2,1373.1,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Lancaster,08/28/2020,32,33,6674,545724,5.9,6,1223,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Pennsylvania,03/06/2021,1538,2419,949403,12801989,12,18.9,7416.1,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Lancaster,07/25/2020,47,38.4,5321,545724,8.6,7,975,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Union,12/28/2020,25,33.7,2741,44923,55.7,75,6101.6,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Pennsylvania,09/10/2020,1035,757.3,144248,12801989,8.1,5.9,1126.8,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Blair,04/23/2021,57,51,12286,121829,46.8,41.9,10084.6,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Lehigh,12/09/2020,356,333.7,14502,369318,96.4,90.4,3926.7,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Northampton,11/24/2020,164,167.9,8419,305285,53.7,55,2757.8,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Lycoming,02/23/2021,40,31.1,9242,113299,35.3,27.5,8157.2,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Lehigh,03/26/2021,171,137,33536,369318,46.3,37.1,9080.5,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Lehigh,04/02/2021,229,155.6,34625,369318,62,42.1,9375.4,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Union,05/03/2020,0,0.9,30,44923,0,1.9,66.8,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Lycoming,04/06/2021,35,42.6,10535,113299,30.9,37.6,9298.4,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Pennsylvania,07/14/2020,1087,786.3,98268,12801989,8.5,6.1,767.6,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Bradford,03/05/2021,8,8.7,4453,60323,13.3,14.4,7381.9,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Carbon,05/02/2021,5,17.3,6103,64182,7.8,26.9,9508.9,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Luzerne,12/03/2020,319,216.1,10814,317417,100.5,68.1,3406.9,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Bradford,02/09/2021,14,16.1,4209,60323,23.2,26.8,6977.4,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Fayette,03/03/2021,35,26.3,10411,129274,27.1,20.3,8053.4,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Lycoming,11/03/2020,10,9.4,1057,113299,8.8,8.3,932.9,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Erie,08/06/2020,7,18.3,1064,269728,2.6,6.8,394.5,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Pennsylvania,04/10/2021,3640,4308.7,1073657,12801989,28.4,33.7,8386.6,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Lycoming,09/20/2020,4,6.6,645,113299,3.5,5.8,569.3,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Westmoreland,12/28/2020,470,253.3,18905,348899,134.7,72.6,5418.5,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Union,07/16/2020,1,1.7,112,44923,2.2,3.8,249.3,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Union,12/10/2020,30,35,2079,44923,66.8,77.9,4627.9,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Erie,01/23/2021,105,96.7,14807,269728,38.9,35.9,5489.6,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Union,11/20/2020,51,37.7,1273,44923,113.5,84,2833.7,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Lebanon,04/02/2021,47,40.9,13994,141793,33.1,28.8,9869.3,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Lebanon,07/23/2020,3,7.3,1543,141793,2.1,5.1,1088.2,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Erie,01/26/2021,111,95.1,15107,269728,41.2,35.3,5600.8,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Lebanon,03/16/2021,51,32.1,13350,141793,36,22.7,9415.1,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Lebanon,12/11/2020,137,103.3,6792,141793,96.6,72.8,4790.1,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Lehigh,12/21/2020,255,305.1,18019,369318,69,82.6,4879,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Lehigh,02/24/2021,69,71.4,30587,369318,18.7,19.3,8282,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Susquehanna,05/02/2021,0,14.6,2469,40328,0,36.1,6122.3,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Berks,10/28/2020,106,107.7,9401,421164,25.2,25.6,2232.1,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Chester,04/04/2021,154,191.1,35084,524989,29.3,36.4,6682.8,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Venango,06/05/2020,0,0.4,15,50668,0,0.8,29.6,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Lebanon,11/30/2020,50,75.6,5414,141793,35.3,53.3,3818.2,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Indiana,01/27/2021,14,16.4,4723,84073,16.7,19.5,5617.7,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Monroe,07/27/2020,3,4.7,1574,170271,1.8,2.8,924.4,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Philadelphia,01/27/2021,466,438.7,103771,1584064,29.4,27.7,6550.9,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Lebanon,01/30/2021,62,71.7,11807,141793,43.7,50.6,8326.9,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Lycoming,03/26/2021,68,33.7,10102,113299,60,29.8,8916.2,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Union,12/05/2020,21,27,1886,44923,46.7,60.1,4198.3,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Washington,02/24/2021,16,27.4,13637,206865,7.7,13.3,6592.2,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Northumberland,10/28/2020,27,13,1584,90843,29.7,14.3,1743.7,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Lackawanna,03/03/2021,40,46.6,14167,209674,19.1,22.2,6756.7,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Northumberland,02/06/2021,73,82,7515,90843,80.4,90.3,8272.5,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Philadelphia,02/15/2021,66,256.4,110103,1584064,4.2,16.2,6950.7,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Blair,12/16/2020,91,146.6,6674,121829,74.7,120.3,5478.2,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Cameron,03/21/2021,0,0.1,267,4447,0,3.2,6004,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Lebanon,03/11/2021,37,26.6,13191,141793,26.1,18.7,9303,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Northampton,12/06/2020,253,241.6,10898,305285,82.9,79.1,3569.8,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Lycoming,08/17/2020,5,6.3,461,113299,4.4,5.5,406.9,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Dauphin,04/23/2021,96,74,24292,278299,34.5,26.6,8728.7,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Lebanon,09/18/2020,21,16.3,1942,141793,14.8,11.5,1369.6,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Lycoming,03/12/2021,31,21.6,9681,113299,27.4,19,8544.6,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Berks,12/26/2020,270,289.6,22309,421164,64.1,68.8,5297,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Lycoming,12/26/2020,43,119.1,5678,113299,38,105.2,5011.5,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Monroe,11/03/2020,27,19.6,2181,170271,15.9,11.5,1280.9,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Lehigh,01/28/2021,205,206.4,27942,369318,55.5,55.9,7565.8,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Bradford,03/11/2021,6,8.3,4503,60323,9.9,13.7,7464.8,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Lancaster,04/28/2021,142,141.6,53035,545724,26,25.9,9718.3,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Union,10/27/2020,3,8.3,723,44923,6.7,18.4,1609.4,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Lackawanna,03/10/2021,33,40.7,14452,209674,15.7,19.4,6892.6,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Union,11/28/2020,15,50.1,1697,44923,33.4,111.6,3777.6,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Monroe,09/05/2020,2,3.4,1750,170271,1.2,2,1027.8,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Union,02/25/2021,131,28.6,5154,44923,291.6,63.6,11473,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Union,09/06/2020,5,4.6,415,44923,11.1,10.2,923.8,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Elk,05/01/2021,1,4.1,2812,29910,3.3,13.9,9401.5,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Lebanon,10/06/2020,39,20.3,2233,141793,27.5,14.3,1574.8,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Lebanon,12/14/2020,114,121.1,7184,141793,80.4,85.4,5066.5,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Lebanon,09/07/2020,6,6.9,1794,141793,4.2,4.8,1265.2,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Lebanon,11/11/2020,82,58.3,3876,141793,57.8,41.1,2733.6,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Union,02/12/2021,14,20.6,4869,44923,31.2,45.8,10838.5,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Monroe,03/08/2021,60,44.7,10077,170271,35.2,26.3,5918.2,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Lebanon,01/28/2021,66,69,11675,141793,46.5,48.7,8233.8,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Luzerne,12/04/2020,305,232.7,11119,317417,96.1,73.3,3503,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Wayne,04/25/2021,8,16.4,3802,51361,15.6,32,7402.5,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Philadelphia,01/25/2021,643,452.6,102834,1584064,40.6,28.6,6491.8,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Clearfield,10/10/2020,7,3.6,395,79255,8.8,4.5,498.4,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Venango,11/30/2020,38,33.6,1035,50668,75,66.3,2042.7,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Lycoming,12/22/2020,180,141.1,5329,113299,158.9,124.6,4703.5,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
