Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Cumberland,05/01/2021,43,46.9,19715,253370,17,18.5,7781.1,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Washington,02/07/2021,25,54.3,13046,206865,12.1,26.2,6306.5,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Washington,04/04/2020,5,3.7,52,206865,2.4,1.8,25.1,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Montgomery,07/03/2020,34,35.7,8733,830915,4.1,4.3,1051,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Pennsylvania,12/24/2020,7023,8349.6,600267,12801989,54.9,65.2,4688.9,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Lancaster,09/19/2020,26,34.6,7559,545724,4.8,6.3,1385.1,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Lackawanna,04/15/2021,108,80,16815,209674,51.5,38.2,8019.6,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Washington,08/02/2020,8,11.1,769,206865,3.9,5.4,371.7,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Elk,01/17/2021,9,36.7,1947,29910,30.1,122.7,6509.5,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Erie,03/18/2021,21,34,18258,269728,7.8,12.6,6769,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Northumberland,11/23/2020,28,40.3,2331,90843,30.8,44.3,2566,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Allegheny,11/23/2020,517,542.6,24631,1216045,42.5,44.6,2025.5,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Bradford,02/07/2021,7,17.9,4170,60323,11.6,29.6,6912.8,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
